content,sentiments,label
"双向奔赴
",0.4737672181921908,0
"元旦快乐！！
",0.9526698594480101,1
"这个创意太绝了！
",0.9152800586289,1
"未完待续！
",0.6623367811439611,0
"唱的棒 音乐也太棒了 
",0.9959545566198683,1
"DNA动了
",0.4213577719696612,0
"南山！等我！
",0.5714285714285716,0
"期末考试不挂科，冲高分！！
",0.7631760501669322,1
"b站有领袖之证全集！强烈推荐！
",0.9060177072122133,1
"这个创意好好！！
",0.8505001722694094,1
"元旦快乐
",0.980520089475022,1
"工作顺利，家人平平安安，爱情美满
",0.994589650245188,1
"希望来年找到满意工作！
",0.8169417003554115,1
"一研为定！各位岸上见
",0.5830981904033651,0
"新年快乐新年快乐
",0.837987055589855,1
"保送复旦英语系！
",0.8020859269935734,1
"现在一年工作顺利 身体健康 努力提升自己 
",0.9952959103843875,1
"双向奔赴
",0.4737672181921908,0
"考的都会蒙的都对
",0.7483559524795361,1
"愿薪火相传
",0.7085923308003611,1
"前面cue萧亚轩的又被笑翻  哈哈哈哈哈哈哈
",0.7525876013975654,1
"好家伙好家伙！
",0.7260632515399791,1
"上岸！
",0.2500000000000001,-1
"凤凰传奇应该常驻脱口秀大会
",0.9873879810730499,1
"我也想不被怼，可是他叫我run it耶
",0.1328058655811576,-1
"考研上岸！
",0.9231596591951459,1
"后面考试不再挂科！！！！
",0.6257566862967532,0
"风，风，风，大风
",0.23417160038499585,-1
"LK新年快乐
",0.6833368688022544,1
"专升本考试稳定能过，上个不错大学
",0.9985491838322218,1
"卧槽！！！！太牛了
",0.15957142533705848,-1
"度木木，你听到了吗
",0.6071087024723345,0
"身体健康，幸福平安，2022要朝着自己想走的方向更加油啊
",0.9876088542315754,1
"2022顺利脱单
",0.5794111560058296,0
"新年快乐
",0.7056140991449089,1
"找个好工作
",0.4957371129429615,0
"啊啊啊啊啊啊啊啊
",0.9833632823559683,1
"相亲达人！
",0.824353793491018,1
"主持人都很不错非常的棒
",0.9754883524972275,1
"都市丽人！！！
",0.7914065748145533,1
"霸气！威武！
",0.7297953905324696,1
"新年快乐！
",0.7056140991449089,1
"祝好
",0.9143552187435408,1
"祝我写的书大家能喜欢~！
",0.98538957753623,1
"元旦快乐
",0.980520089475022,1
"就弄小B站这个心思都算赢了
",0.282020294702793,-1
"新年快乐
",0.7056140991449089,1
"说不定就是奥运会选手
",0.4808783956008086,0
"希望自己在新的一年里可以找到你个好的工作，早日脱单
",0.6111577795948706,0
"擦肩而过！！！
",0.41258069071532955,0
"我们终将走向繁荣昌盛
",0.9926446162155864,1
"我的眼睛已经不够使了
",0.7141265237067334,1
"天啊
",0.38121739130434773,0
"久石让的太阳照常升起
",0.8483197627275326,1
"2022脱单成功
",0.4410139298088276,0
"灵笼排面！！！！！！！！
",0.10312084778579178,-1
"一月二号补课！
",0.24483608920592126,-1
"元旦快乐
",0.980520089475022,1
"请让我遇见一个温柔的神
",0.8669174603495391,1
"大秦万年！
",0.7297953905324696,1
"高考，考的全会，蒙的全对
",0.9468330255125108,1
"面包开场首秀！！！
",0.18933527940599304,-1
"这盛世如你所愿
",0.9642971789056206,1
"一个人的唱诗班
",0.8620785075153745,1
"这盛世如你所愿
",0.9642971789056206,1
"这盛世如你所愿
",0.9642971789056206,1
"原谅我要暂时回归一个人，元旦快乐
",0.9917951406410931,1
