content,sentiments,label
"看上去不错啊
",0.840365817961501,1
"嫌尴尬可以不看啊，为什么继续看，让自己更尴尬？
",0.1983944877639523,-1
"本来就垃圾
",0.07872780223817111,-1
"期待
",0.6889632107023416,1
"这个是个日本演员......
",0.9730886419135023,1
"诺澜！！！
",0.11226884289051531,-1
"预告片满分
",0.8167816157508475,1
"Hail海澜之家
",0.4558120760450858,0
"那诺澜怎么办？
",0.2951240317207794,-1
"汉化公寓
",0.18984032595226263,-1
"大三了
",0.44471638461027485,0
"八戒！
",0.23840581895007706,-1
"是不是说。。。
",0.22216932824236746,-1
"我觉得还可以啊
",0.5746682977321914,0
"五年级到大二
",0.9800763656243865,1
"挺好的
",0.8284246220999102,1
"高一了
",0.6582579723940979,0
"博三了
",0.41336891252587116,0
"高一到大学毕业四年
",0.9598287537312064,1
"曾小贤都变客串了，有P的料
",0.7787367926748943,1
"听到最终集，不知道为什么笑不出来
",0.5425414397979075,0
"哈哈哈哈
",0.8684210526315791,1
"哈哈哈哈哈哈官方吐槽
",0.9637843222026744,1
"大一了
",0.875,1
"爱乐公寓？
",0.18984032595226263,-1
"高三了
",0.7499999999999999,1
"哇
",0.5262327818078083,0
"高四了
",0.7039561132488614,1
"卧槽！
",0.5,0
"ohhhhhhhhhhhhhhhhhh
",0.5,0
"研2了
",0.7731512804002681,1
"曾小贤变客串，所以胡一菲和空气谈恋爱？
",0.8276482942154267,1
"毕业2年了
",0.5494002342342955,0
"雨墨好漂亮
",0.9833660557828654,1
"高一了
",0.6582579723940979,0
"羽墨
",0.9462534947694483,1
"太尬了吧
",0.5,0
"第四季的时候，我初二，现在，我大一了
",0.9754398950434624,1
"小V
",0.4310585278661053,0
"印度拍的？
",0.8524404092751124,1
"小学二年级到高二
",0.9829007498121808,1
"高三了
",0.7499999999999999,1
"高一了
",0.6582579723940979,0
"！！！！！！！娄艺潇
",0.195651914222984,-1
"我觉得OK啊，就像他们说的，关谷悠悠自己选择不出演
",0.1535579649062936,-1
"研一了
",0.8846153846153847,1
"高三了
",0.7499999999999999,1
"研一了
",0.8846153846153847,1
"大一了
",0.875,1
"炸弹秀
",0.8630530555797126,1
"啊啊啊啊羽墨
",0.9922739485102574,1
"官方吐槽最为致命！！！
",0.19094090717997092,-1
"道德绑架？
",0.9212839913777965,1
"啊！！！！诺澜
",0.12653257769842197,-1
"快停止你们的迪士尼行为
",0.8469159796494166,1
"纳尼？？孩纸？哪来的！！
",0.06303061227624884,-1
"大一了
",0.875,1
"大四毕业了
",0.759500716427703,1
"卧槽
",0.5,0
"三年级到高二！
",0.9282725342021845,1
"尴尬癌都犯了
",0.5123303351031271,0
"md   30岁了
",0.4748715536403344,0
"Wocc
",0.5,0
"官方吐槽最为致命
",0.5020028427555903,0
"高三了
",0.7499999999999999,1
"高三
",0.7499999999999999,1
"工作了
",0.5691358024691356,0
"那就别拍了
",0.4782608695652175,0
"展博也没了
",0.34120297839679514,0
"尬尬尬
",0.44767845850986676,0
"悲惨世界
",0.9787248161442288,1
"李佳航！！！！
",0.3962542713809579,0
"大三了
",0.44471638461027485,0
"大一了
",0.875,1
"其实我觉得挺真诚的
",0.7169924758048536,1
"大三了
",0.44471638461027485,0
"纳尼！！！！！！！！！！啊啊啊
",0.32719906417647937,-1
"高三了
",0.7499999999999999,1
"诺澜比一菲
",0.7576560612120934,1
"垮掉
",0.1016947391770977,-1
"真的拍得好
",0.6153921254837926,0
"啊！！！！！！羽墨回来了
",0.31329101805207815,-1
"诺澜比一菲大噢
",0.7582277634368765,1
"好啊啊啊啊啊
",0.9328979201261273,1
"整段垮掉
",0.09249353521272985,-1
"好与不好只想认真看完
",0.5008276482234083,0
"一叽咕
",0.2500000000000001,-1
"好像悲惨世界舞台剧啊
",0.9660679181651118,1
"原来你也知道2分多啊！还不努力一下
",0.24926051753166478,-1
"你否认自己的青春 有意思吗
",0.9984082415839162,1
"真的好棒！！！
",0.698664907313325,1
"大一啦
",0.5319597284008428,0
"展博呢
",0.5122783096101873,0
"硕一了
",0.5231788079470199,0
"LALALAN+马戏之王。。。
",0.5296503199105466,0
"这么多年，他们好像没有变老一样。
",0.5521703172883735,0
"泪目
",0.7500624229391235,1
"ohhhh
",0.5,0
"好沙雕！还差个
",0.9677304329918662,1
"大二了
",0.875,1
"一直等一
",0.5262327818078083,0
"跟风可太可靠了
",0.5205238395311176,0
"他来了他来了
",0.7499999999999999,1
"哈哈哈哈这很大师兄
",0.9726494070463173,1
"研一了
",0.8846153846153847,1
"初三了
",0.8,1
"一菲好美啊
",0.9835951537651111,1
"前方注入灵魂
",0.9855251454642581,1
"高二了
",0.7499999999999999,1
"啊啊啊啊啊
",0.890142453148024,1
"官方吐槽！？？
",0.4042623569263156,0
"都打工了，爱5终于有影了。
",0.9428873546945943,1
"大二了
",0.875,1
"太棒了！
",0.9005911035821151,1
"所有道理不用你给我讲，我都懂，但我还是要看
",0.8059697395405594,1
"还是先看两集再说吧
",0.3707950371782185,0
"人生导师!全体起立!!!!!
",0.6221525526486863,0
"大二了
",0.875,1
"OHHHHHHHHHHHH!
",0.5,0
"高一了
",0.6582579723940979,0
"大二了
",0.875,1
"终于有新背景了
",0.8706543246970252,1
"看样子王传君不会上场了，悠悠雪藏！
",0.9805316394852057,1
"大三啊啊啊
",0.6838544647833086,1
"益达！！！
",0.1329180552066498,-1
"忙？ 咖位大了  请不起了罢了
",0.11132026082495639,-1
"牛批啊
",0.521822209998058,0
"婉瑜展博呢
",0.48602752599007815,0
"高!富!帅!
",0.9677980581774708,1
"丽萨没变
",0.8346196031482946,1
"我的益达！！！！
",0.14936385906719918,-1
"厕所哈哈哈哈哈哈哈哈哈哈
",0.9856030394206637,1
"？？？？
",0.15789473684210542,-1
"高一了
",0.6582579723940979,0
"大四
",0.5838700837147079,0
"卧槽
",0.5,0
"高二了
",0.7499999999999999,1
"初一了
",0.8333333333333333,1
"白宇啊哈哈哈哈哈
",0.7681302029721829,1
"哈哈哈哈哈哈哈哈
",0.9751349273004098,1
"看着有点伤感，不知道问啥
",0.917897616706688,1
"张伟我爱你！
",0.3259878898396187,-1
"抄袭真的不好，但我还是相信两位导演能做得更好
",0.4402797142532826,0
"喝肾宝，你好我也好
",0.6040090290314735,0
"一瓶提神醒脑
",0.17894525728520727,-1
"两瓶永不疲劳
",0.6879982821822455,1
"三排长生不老
",0.4737672181921908,0
"大二了
",0.875,1
"肾宝，味道好极了
",0.6416387860982529,0
"官方吐槽
",0.4297898171504603,0
"尬
",0.5,0
"大一啦
",0.5319597284008428,0
"尬
",0.5,0
"大一了
",0.875,1
"不要啊，不要是最终季，说好的故事永不落幕呢
",0.9871400565742467,1
"@诺澜
",0.7085923308003625,1
"工作三年
",0.5052292914724009,0
"大三了
",0.44471638461027485,0
"有名气的都走了
",0.36245366989244865,0
"这镜头帅了
",0.9264932665174829,1
"高一了
",0.6582579723940979,0
"啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊阿
",0.999956420267951,1
"叫人家楚倩啦
",0.5858796007828936,0
"初二到大四
",0.8983992427227323,1
"益达!!!
",0.170560687031718,-1
"初二到大四
",0.8983992427227323,1
"四年级到高三。。。。。
",0.9245140490974264,1
"小龙虾!  !  !
",0.19713298318520223,-1
"高二了我靠
",0.7499999999999999,1
"卧槽卧槽
",0.4737672181921908,0
"噗
",0.5,0
"高三了
",0.7499999999999999,1
"我想哭了怎么办
",0.5442291502644188,0
"龙虾怪
",0.8113717172248371,1
"生活大爆炸都完结了，爱情公寓抄什么呢？
",0.7834327702711679,1
"雨墨
",0.81017779186841,1
"龙虾怪，为所欲为
",0.8856509792645431,1
"大一了~
",0.875,1
"抄袭剧
",0.34433746104485496,0
